description,upc,quantity,done,unit,price,note,coupon_amount,coupon_type,coupon_note,tax_free,category
"Naranjilla 6u Mega",,1.0,False,NOT_SPECIFIED,1.25,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Queso crema tony light Mega",,1.0,False,NOT_SPECIFIED,3.0,"",0.0,AMOUNT,"",True,Lacteos
"Desodorante papa old spice Mega",,1.0,False,NOT_SPECIFIED,4.72,"",0.0,AMOUNT,"",True,Higene
"Toallas de cocina 2u Mega",,1.0,False,NOT_SPECIFIED,2.65,"",0.0,AMOUNT,"",False,Limpieza
"Naranjas 10u Mega",,1.0,False,NOT_SPECIFIED,2.16,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Comida gatos Michu 2kg Mega",,2.0,False,NOT_SPECIFIED,5.37,"",0.0,AMOUNT,"",True,Mascotas
"Pepinillos 2u Mega",,1.0,False,NOT_SPECIFIED,0.5,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Cereal corn flakes 110g Mea",,1.0,False,NOT_SPECIFIED,1.14,"",0.0,AMOUNT,"",True,Abarrotes
"Papaya hawayana 2u Mega",,1.0,False,NOT_SPECIFIED,0.73,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Toallas de cocina 2 en 1 Mega",,4.0,False,NOT_SPECIFIED,2.65,"",0.0,AMOUNT,"",True,Limpieza
"Carne Molida 1u Mega",,2.0,False,NOT_SPECIFIED,5.1,"",0.0,AMOUNT,"",True,Carnes
"Zapallo 1u Mega",,1.0,False,NOT_SPECIFIED,0.41,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Desinfectante Kalipto 1g Mega",,1.0,False,NOT_SPECIFIED,7.19,"",0.0,AMOUNT,"",True,Limpieza
"Maduro Mega",,1.0,False,NOT_SPECIFIED,0.52,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Hierba buena 2u Mega",,2.0,False,NOT_SPECIFIED,0.65,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Esponja estrella  verde Mega",,1.0,False,NOT_SPECIFIED,3.0,"",0.0,AMOUNT,"",True,Hogar
"Doña criollita sobres Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Abarrotes
"Arena gatos Alta Gama 4kg Mega",,2.0,False,NOT_SPECIFIED,8.29,"",0.0,AMOUNT,"",True,Mascotas
"Tortitas Rojas Amarillas azules",,1.0,False,NOT_SPECIFIED,2.0,"",0.0,AMOUNT,"",False,Sin categoría
"Maicena Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Abarrotes
"Ajo molido 250g Mega",,1.0,False,NOT_SPECIFIED,1.96,"",0.0,AMOUNT,"",True,Abarrotes
"Champiñones Cepa 220g Mega",,1.0,False,NOT_SPECIFIED,1.46,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Fresas Mega",,1.0,False,NOT_SPECIFIED,2.4,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Chocolate Ricacao 440g Mega",,2.0,False,NOT_SPECIFIED,2.3,"",0.0,AMOUNT,"",True,Abarrotes
"Limpiador baño Sachet Tips 500ml Mega",,1.0,False,NOT_SPECIFIED,1.57,"",0.0,AMOUNT,"",False,Limpieza
"Nueces",,1.0,False,NOT_SPECIFIED,5.0,"",0.0,AMOUNT,"",True,Snacks
"Huesos mascotas Mega",,1.0,False,NOT_SPECIFIED,2.15,"",0.0,AMOUNT,"",True,Mascotas
