description,upc,quantity,done,unit,price,note,coupon_amount,coupon_type,coupon_note,tax_free,category
"Naranjas 10u Mega",,1.0,False,NOT_SPECIFIED,2.16,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Mascarilla Natural vital 300 ml cabello rojo Mega",,1.0,False,NOT_SPECIFIED,6.4,"",0.0,AMOUNT,"",True,Limpieza
"Limon 8u Mega",,1.0,False,NOT_SPECIFIED,1.5,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Guantes estrella olor naranja 8.5 Mega",,1.0,False,NOT_SPECIFIED,1.7,"",0.0,AMOUNT,"",True,Limpieza
"Servilletas familia mediana mega",,1.0,False,NOT_SPECIFIED,1.74,"",0.0,AMOUNT,"",True,Hogar
"Zuquini mega",,1.0,False,NOT_SPECIFIED,0.45,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Carne Molida 1u Mega",,2.0,False,NOT_SPECIFIED,5.1,"",0.0,AMOUNT,"",True,Carnes
"Aguacate 4u Mega",,1.0,False,NOT_SPECIFIED,1.24,"",0.0,AMOUNT,"",False,Frutas y Legumbres
"Huesos mascotas Mega",,1.0,False,NOT_SPECIFIED,2.15,"",0.0,AMOUNT,"",True,Mascotas
"Limpiador easy off cocina mega",,3.0,False,NOT_SPECIFIED,1.68,"",0.0,AMOUNT,"",True,Limpieza
"Alfombras Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",False,Hogar
"Esponja estrella  verde Mega",,1.0,False,NOT_SPECIFIED,3.0,"",0.0,AMOUNT,"",True,Hogar
"Gel antiseptico Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",False,Higene
"Pañuelos desechables Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Higene
"Sazona pollo Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",False,Abarrotes
"Toallas de cocina 2u Mega",,1.0,False,NOT_SPECIFIED,2.65,"",0.0,AMOUNT,"",False,Limpieza
"Fresas Mega",,1.0,False,NOT_SPECIFIED,2.4,"",0.0,AMOUNT,"",True,Frutas y Legumbres
"Galleta Huesitos pequeña perro Mega",,1.0,False,NOT_SPECIFIED,2.67,"",0.0,AMOUNT,"",True,Mascotas
"Palo comida perros Mega",,1.0,False,NOT_SPECIFIED,1.69,"",0.0,AMOUNT,"",True,Mascotas
"Shampoo Natural Vital 300ml cabellos rojos Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Belleza
"El Postre, el postre, el postre",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Snacks
"Cepillos de dientes gum",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Higene
"Arena gatos Alta Gama 4kg Mega",,1.0,False,NOT_SPECIFIED,8.29,"",0.0,AMOUNT,"",True,Mascotas
"Ajo molido 250g Mega",,1.0,False,NOT_SPECIFIED,1.92,"",0.0,AMOUNT,"",True,Abarrotes
"Curry Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Abarrotes
"Agua tesalia 12u Mega",,1.0,False,NOT_SPECIFIED,3.79,"",0.0,AMOUNT,"",True,Abarrotes
"Ciruelas Mega",,1.0,False,NOT_SPECIFIED,0.0,"",0.0,AMOUNT,"",True,Abarrotes
"Almendras 150g Mega",,1.0,False,NOT_SPECIFIED,3.99,"",0.0,AMOUNT,"",True,Snacks
"Enjuague Bucal Listerine Sin Alcohol 1l Mega",,1.0,False,NOT_SPECIFIED,12.26,"",0.0,AMOUNT,"",True,Higene
"Espuma de afeitar gillete Mega",,1.0,False,NOT_SPECIFIED,3.99,"",0.0,AMOUNT,"",True,Higene
